system,N,run,cap,num_solutions,rewrite_time_ms,solver_time_ms,solution_translation_time_ms,conjure_solve_e2e_ms
conjure,3,1,10,3,1187.4601,0.118,57.1315,1244.7096
conjure,3,2,10,3,1182.5229,0.16,132.9231,1315.606
conjure,3,3,10,3,1158.0785,0.298,179.2819,1337.6584
conjure,3,4,10,3,1185.5976,0.0,69.0612,1254.6588
conjure,3,5,10,3,1164.1704,0.727,124.4135,1289.3109
conjure,3,6,10,3,1207.8882,0.081,48.5459,1256.5151
conjure,3,7,10,3,1234.1964,0.213,37.8004,1272.2098
conjure,3,8,10,3,1147.5357,0.0,106.9265,1254.4622
conjure,3,9,10,3,1146.4367,0.675,108.1013,1255.213
conjure,3,10,10,3,1155.4821,0.0,0.0,1122.8342
conjure,4,1,10,8,1019.3483,0.001,174.4645,1193.8138
conjure,4,2,10,8,1038.8474,0.0,204.0101,1242.8575
conjure,4,3,10,8,1029.3173,0.083,193.0921,1222.4924
conjure,4,4,10,8,1036.8507,0.541,207.5254,1244.9171
conjure,4,5,10,8,1047.8844,0.165,237.5327,1285.5821
conjure,4,6,10,8,1044.5192,0.0,230.7468,1275.266
conjure,4,7,10,8,1091.9028,0.265,146.5664,1238.7342
conjure,4,8,10,8,1054.3816,0.251,183.4549,1238.0875
conjure,4,9,10,8,1033.6971,0.579,196.493,1230.7691
conjure,4,10,10,8,1033.6359,0.555,131.5435,1165.7344
conjure,5,1,10,42,981.0965,0.301,316.5678,1297.9653
conjure,5,2,10,42,1005.7527,0.105,358.458,1364.3157
conjure,5,3,10,42,997.4987,0.952,402.9292,1401.3799
conjure,5,4,10,42,1010.705,0.948,375.2164,1386.8694
conjure,5,5,10,42,1003.261,0.954,372.7006,1376.9156
conjure,5,6,10,42,1003.8541,0.192,380.7705,1384.8166
conjure,5,7,10,42,931.5072,0.615,497.0895,1429.2117
conjure,5,8,10,42,998.3318,0.62,381.9539,1380.9057
conjure,5,9,10,42,1008.1208,0.77,386.6097,1395.5005
conjure,5,10,10,42,1002.4965,0.0,374.8224,1377.3189
conjure,6,1,10,264,1022.4641,2.496,1202.6204,2227.5805
conjure,6,2,10,264,998.7362,2.752,1017.1411,2018.6293
conjure,6,3,10,264,1015.9451,2.342,1299.6822,2317.9693
conjure,6,4,10,264,1008.1149,1.856,1194.4841,2204.455
conjure,6,5,10,264,1014.4929,2.537,1282.609,2299.6389
conjure,6,6,10,264,997.099,2.951,1285.7758,2285.8258
conjure,6,7,10,264,1010.3085,1.012,1305.1721,2316.4926
conjure,6,8,10,264,1011.6705,2.622,1300.464,2314.7565
conjure,6,9,10,264,1006.9017,2.458,1283.1658,2292.5255
conjure,6,10,10,264,856.0286,1.978,1446.4028,2304.4094
conjure,7,1,10,1368,1001.6149,10.02,5748.7401,6760.375
conjure,7,2,10,1368,992.0952,11.184,5400.1278,6403.407
conjure,7,3,10,1368,1004.0763,11.848,5933.0819,6949.0062
conjure,7,4,10,1368,1022.8584,9.943,6460.8439,7493.6453
conjure,7,5,10,1368,1036.7092,10.806,4934.3461,5981.8613
conjure,7,6,10,1368,1021.9695,11.277,6029.5625,7062.809
conjure,7,7,10,1368,1014.4681,10.206,6167.6104,7192.2845
conjure,7,8,10,1368,931.3086,10.743,6078.024,7020.0756
conjure,7,9,10,1368,1032.9378,11.051,5946.5569,6990.5457
conjure,7,10,10,1368,1018.3632,9.516,6049.0446,7076.9238
conjure,8,1,10,10800,978.7584,93.601,39917.1378,40989.4972
conjure,8,2,10,10800,961.3413,88.388,39874.6833,40924.4126
conjure,8,3,10,10800,905.6544,89.686,39387.3418,40382.6822
conjure,8,4,10,10800,990.6809,95.566,45525.65,46611.8969
conjure,8,5,10,10800,992.0062,103.845,43570.4661,44666.3173
conjure,8,6,10,10800,995.1096,98.455,44422.2592,45515.8238
conjure,8,7,10,10800,1036.5091,97.863,39581.1016,40715.4737
conjure,8,8,10,10800,1011.2298,88.638,45239.4929,46339.3607
conjure,8,9,10,10800,1011.8389,94.846,44109.6135,45216.2984
conjure,8,10,10,10800,1003.5666,85.283,44135.6229,45224.4725
conjure,9,1,10,114600,992.0602,1140.38,476202.3668,478334.807
conjure,9,2,10,114600,1036.3112,1228.67,432406.9103,434671.8915
conjure,9,3,10,114600,1035.1969,1159.65,428197.1131,430391.96
conjure,9,4,10,114600,988.8877,1163.24,437505.1808,439657.3085
conjure,9,5,10,114600,1134.5668,1154.9,475019.0445,477308.5113
conjure,9,6,10,114600,998.6244,1215.35,489816.4583,492030.4327
conjure,9,7,10,114600,932.7562,1215.67,486615.8624,488764.2886
conjure,9,8,10,114600,1008.4781,1202.02,432741.4475,434951.9456
conjure,9,9,10,114600,967.4908,1174.85,473786.952,475929.2928
conjure,9,10,10,114600,978.05,1160.28,480892.358,483030.688
oxide,3,1,10,3,1214.4248,0.5926,0.011,
oxide,3,2,10,3,1217.0839,0.6291,0.0101,
oxide,3,3,10,3,1218.1305,0.6258,0.0113,
oxide,3,4,10,3,1218.2438,0.6196,0.0108,
oxide,3,5,10,3,1236.0085,0.6281,0.0106,
oxide,3,6,10,3,1211.171,0.5675,0.01,
oxide,3,7,10,3,1215.2287,0.586,0.0102,
oxide,3,8,10,3,1242.1939,0.6423,0.0121,
oxide,3,9,10,3,1264.0886,0.6342,0.0116,
oxide,3,10,10,3,1206.2688,0.5905,0.0115,
oxide,4,1,10,8,2380.739,1.0403,0.0262,
oxide,4,2,10,8,2301.0089,0.9939,0.0248,
oxide,4,3,10,8,2278.8277,1.0084,0.0306,
oxide,4,4,10,8,2287.3929,0.9945,0.0284,
oxide,4,5,10,8,2305.117,0.9844,0.0244,
oxide,4,6,10,8,2303.1682,1.0227,0.0263,
oxide,4,7,10,8,2286.5697,0.9935,0.0256,
oxide,4,8,10,8,2302.4292,1.0075,0.0283,
oxide,4,9,10,8,2322.3202,1.003,0.0275,
oxide,4,10,10,8,2297.3918,0.9949,0.0257,
oxide,5,1,10,42,4245.0561,3.7982,0.1654,
oxide,5,2,10,42,4192.6474,3.7879,0.1604,
oxide,5,3,10,42,4198.0132,3.7768,0.1643,
oxide,5,4,10,42,4204.6073,3.8263,0.1718,
oxide,5,5,10,42,4209.1519,3.8651,0.1653,
oxide,5,6,10,42,4185.0142,3.8296,0.1609,
oxide,5,7,10,42,4314.1526,3.9077,0.1791,
oxide,5,8,10,42,4190.534,3.8563,0.1664,
oxide,5,9,10,42,4243.0106,3.8105,0.1668,
oxide,5,10,10,42,4196.4183,3.8126,0.1685,
oxide,6,1,10,264,7546.6225,26.0108,1.1038,
oxide,6,2,10,264,7567.7583,25.7636,1.1508,
oxide,6,3,10,264,7561.74,25.802,1.1081,
oxide,6,4,10,264,7570.9488,26.0595,1.2248,
oxide,6,5,10,264,7573.2397,26.0787,1.1565,
oxide,6,6,10,264,7531.0617,26.0344,1.1561,
oxide,6,7,10,264,7587.229,27.0897,1.1094,
oxide,6,8,10,264,7603.56,26.1751,1.1268,
oxide,6,9,10,264,7649.9808,25.69,1.1538,
oxide,6,10,10,264,7597.0551,26.4992,1.1026,
oxide,7,1,10,1368,13084.7239,168.1845,7.7888,
oxide,7,2,10,1368,12963.4405,168.2544,8.9702,
oxide,7,3,10,1368,12926.3015,168.9517,8.2075,
oxide,7,4,10,1368,13283.2785,174.1973,9.8397,
oxide,7,5,10,1368,12944.9768,168.491,8.7516,
oxide,7,6,10,1368,13001.9297,168.7684,9.0316,
oxide,7,7,10,1368,13111.6247,169.7935,8.9772,
oxide,7,8,10,1368,13010.6542,182.3961,13.4269,
oxide,7,9,10,1368,13062.5285,172.9539,8.9669,
oxide,7,10,10,1368,12959.3203,168.7069,8.9567,
oxide,8,1,10,10800,21832.255,1648.3153,79.3662,
oxide,8,2,10,10800,21827.2061,1599.9726,79.4467,
oxide,8,3,10,10800,21725.4034,1606.7861,78.8402,
oxide,8,4,10,10800,21805.5519,1607.4998,80.5943,
oxide,8,5,10,10800,21861.6852,1626.0388,80.1453,
oxide,8,6,10,10800,21797.366,1648.9421,81.3434,
oxide,8,7,10,10800,21774.383,1605.8508,80.3708,
oxide,8,8,10,10800,21850.038,1601.9952,79.9158,
oxide,8,9,10,10800,21677.8129,1616.0923,80.6036,
oxide,8,10,10,10800,21669.0916,1613.7077,79.6695,
oxide,9,1,10,-1,-1,-1,-1,
oxide,9,2,10,114600,35236.9499,21063.9902,971.9001,
oxide,9,3,10,114600,35721.4718,21244.1555,1018.9393,
oxide,9,4,10,114600,35153.669,20859.5015,943.4274,
oxide,9,5,10,114600,35283.887,20701.3951,951.2408,
oxide,9,6,10,114600,35245.3634,20461.534,930.7726,
oxide,9,7,10,-1,-1,-1,-1,
oxide,9,8,10,114600,35238.6041,20642.5565,949.2534,
oxide,9,9,10,114600,35309.1781,20612.8565,934.2844,
oxide,9,10,10,114600,35364.3965,20667.1755,945.3775,
