system,N,run,cap,num_solutions,rewrite_time_ms,solver_time_ms,solution_translation_time_ms,conjure_solve_e2e_ms
conjure,3,1,10,3,961.9862,0.323,121.9027,1084.2119
conjure,3,2,10,3,933.2025,0.148,141.1749,1074.5254
conjure,3,3,10,3,937.6055,0.196,138.3552,1076.1567
conjure,3,4,10,3,934.5417,0.001,141.3441,1075.8868
conjure,3,5,10,3,953.1465,0.323,113.9414,1067.4109
conjure,3,6,10,3,958.1002,0.143,116.8874,1075.1306
conjure,3,7,10,3,957.6847,0.176,167.6157,1125.4764
conjure,3,8,10,3,930.6627,0.18,144.9957,1075.8384
conjure,3,9,10,3,964.8246,0.145,116.459,1081.4286
conjure,3,10,10,3,959.3469,0.0,116.879,1076.2259
conjure,4,1,10,8,847.9949,0.344,234.6759,1083.0148
conjure,4,2,10,8,854.3172,0.0,245.6986,1100.0158
conjure,4,3,10,8,856.953,0.238,253.6371,1110.8281
conjure,4,4,10,8,852.4121,0.121,246.8996,1099.4327
conjure,4,5,10,8,857.5174,0.305,284.747,1142.5694
conjure,4,6,10,8,851.8456,0.0,236.7876,1088.6332
conjure,4,7,10,8,857.18,0.566,230.7909,1088.5369
conjure,4,8,10,8,850.1495,0.198,238.7365,1089.084
conjure,4,9,10,8,843.9964,0.19,247.0116,1091.198
conjure,4,10,10,8,845.9071,0.393,255.631,1101.9311
conjure,5,1,10,42,859.3112,0.0,425.4287,1284.7399
conjure,5,2,10,42,872.9461,0.425,429.2336,1302.6047
conjure,5,3,10,42,862.1918,0.0,381.762,1243.9538
conjure,5,4,10,42,854.0244,0.965,520.0348,1375.0242
conjure,5,5,10,42,858.8957,0.099,546.7768,1405.7715
conjure,5,6,10,42,850.966,0.0,430.3989,1281.3649
conjure,5,7,10,42,846.5927,0.518,341.1656,1188.2763
conjure,5,8,10,42,847.4476,0.468,351.9772,1199.8928
conjure,5,9,10,42,870.1851,0.551,440.3548,1311.0909
conjure,5,10,10,42,846.5482,0.34,472.9351,1319.8233
conjure,6,1,10,264,875.6438,2.051,1178.2744,2055.9692
conjure,6,2,10,264,920.1764,1.928,1076.5194,1998.6238
conjure,6,3,10,264,914.5591,2.744,1227.1223,2144.4254
conjure,6,4,10,264,886.7583,3.161,1107.8889,1997.8082
conjure,6,5,10,264,908.2004,2.29,1236.9484,2147.4388
conjure,6,6,10,264,900.597,0.96,1274.6191,2176.1761
conjure,6,7,10,264,923.4867,2.875,1258.0519,2184.4136
conjure,6,8,10,264,877.7391,2.899,1301.7626,2182.4007
conjure,6,9,10,264,916.3987,2.529,1261.1501,2180.0778
conjure,6,10,10,264,869.125,2.522,1294.3601,2166.0071
conjure,7,1,10,1368,886.733,10.022,5264.9879,6161.7429
conjure,7,2,10,1368,877.0097,10.716,5323.8828,6211.6085
conjure,7,3,10,1368,872.1925,8.591,5281.1552,6161.9387
conjure,7,4,10,1368,884.3639,9.786,5334.6283,6228.7782
conjure,7,5,10,1368,865.5829,11.752,5265.2537,6142.5886
conjure,7,6,10,1368,860.8421,12.277,5411.9405,6285.0596
conjure,7,7,10,1368,870.9312,10.685,5313.8591,6195.4753
conjure,7,8,10,1368,874.7319,10.616,5331.264,6216.6119
conjure,7,9,10,1368,846.205,10.962,5407.4924,6264.6594
conjure,7,10,10,1368,860.0596,9.891,5426.7633,6296.7139
conjure,8,1,10,10800,932.5552,105.445,43146.3212,44184.3214
conjure,8,2,10,10800,931.0543,101.897,42112.3816,43145.3329
conjure,8,3,10,10800,901.5618,103.402,42025.5286,43030.4924
conjure,8,4,10,10800,904.2126,100.491,42908.5039,43913.2075
conjure,8,5,10,10800,906.0927,131.781,38528.3742,39566.2479
conjure,8,6,10,10800,916.4221,96.182,38594.3288,39606.9329
conjure,8,7,10,10800,896.2319,100.34,42180.2483,43176.8202
conjure,8,8,10,10800,895.8458,97.753,42446.3129,43439.9117
conjure,8,9,10,10800,895.2881,104.185,38647.5041,39646.9772
conjure,8,10,10,10800,914.7133,97.231,38519.7478,39531.6921
oxide,3,1,10,3,1316.944,0.7534,0.0194,
oxide,3,2,10,3,1341.8792,0.7237,0.0128,
oxide,3,3,10,3,1267.8987,0.7254,0.0287,
oxide,3,4,10,3,1317.3026,0.7009,0.0118,
oxide,3,5,10,3,1330.2822,0.7421,0.0126,
oxide,3,6,10,3,1326.6162,0.6741,0.0121,
oxide,3,7,10,3,1326.6677,0.6618,0.0111,
oxide,3,8,10,3,1275.8534,0.7185,0.0127,
oxide,3,9,10,3,1412.9729,0.6319,0.0125,
oxide,3,10,10,3,1318.7703,0.7234,0.0115,
oxide,4,1,10,8,2332.6368,0.9886,0.026,
oxide,4,2,10,8,2326.7209,0.9772,0.0252,
oxide,4,3,10,8,2338.5466,0.9838,0.0324,
oxide,4,4,10,8,2326.2277,0.985,0.0285,
oxide,4,5,10,8,2334.2642,0.9768,0.0272,
oxide,4,6,10,8,2373.1016,1.0041,0.0286,
oxide,4,7,10,8,2437.3851,1.057,0.0368,
oxide,4,8,10,8,2442.3878,1.1172,0.0293,
oxide,4,9,10,8,2434.7566,1.1279,0.0322,
oxide,4,10,10,8,2406.8837,1.0626,0.0306,
oxide,5,1,10,42,4209.0039,4.2649,0.1838,
oxide,5,2,10,42,4195.1509,3.7939,0.1633,
oxide,5,3,10,42,4177.6925,3.8199,0.1692,
oxide,5,4,10,42,4183.2215,3.8385,0.1625,
oxide,5,5,10,42,4181.4416,3.789,0.1643,
oxide,5,6,10,42,4215.4963,4.3398,0.1877,
oxide,5,7,10,42,4195.5677,4.7799,0.2022,
oxide,5,8,10,42,4221.0177,4.6999,0.1999,
oxide,5,9,10,42,4222.633,4.5812,0.1807,
oxide,5,10,10,42,4237.2548,4.5467,0.1983,
oxide,6,1,10,264,7684.6733,25.8309,1.1222,
oxide,6,2,10,264,7689.9447,25.7978,1.1647,
oxide,6,3,10,264,7596.6734,25.6958,1.092,
oxide,6,4,10,264,7689.9731,25.6393,1.1775,
oxide,6,5,10,264,7641.3116,25.9432,1.1215,
oxide,6,6,10,264,7697.1705,25.8101,1.1257,
oxide,6,7,10,264,7677.9209,27.3048,1.3352,
oxide,6,8,10,264,7576.3244,25.8474,1.1356,
oxide,6,9,10,264,7727.5461,25.5316,1.0735,
oxide,6,10,10,264,7792.7239,25.4965,1.1086,
oxide,7,1,10,1368,13004.8554,166.828,7.2785,
oxide,7,2,10,1368,13021.0835,171.3923,9.7351,
oxide,7,3,10,1368,12963.4179,167.3586,8.4255,
oxide,7,4,10,1368,12968.7327,169.1148,8.9833,
oxide,7,5,10,1368,12972.6887,169.0489,9.6838,
oxide,7,6,10,1368,13348.7562,167.9014,7.6457,
oxide,7,7,10,1368,13092.5367,169.633,8.7681,
oxide,7,8,10,1368,13047.5897,170.0875,8.0223,
oxide,7,9,10,1368,13113.012,170.0749,9.1507,
oxide,7,10,10,1368,13029.5521,173.0674,9.1914,
oxide,8,1,10,10800,21948.4272,1630.0241,81.0464,
oxide,8,2,10,10800,21828.3642,1633.3894,80.2844,
