system,N,run,num_solutions,rewrite_time_ms,solver_time_ms,solution_translation_time_ms,conjure_solve_e2e_ms
conjure,4,1,10,681.8513,0.356,164.7805,846.9878
conjure,4,2,10,641.7552,0.001,214.4303,856.1865
conjure,4,3,10,636.4623,0.537,219.0468,856.0461
conjure,4,4,10,636.9679,0.0,223.0714,860.0393
conjure,4,5,10,632.6103,0.39,231.0225,864.0228
conjure,4,6,10,636.5695,0.85,207.047,844.4665
conjure,4,7,10,638.573,0.0,226.9968,865.5698
conjure,4,8,10,641.8755,0.182,239.0428,881.1003
conjure,4,9,10,658.479,0.17,195.7212,854.3702
conjure,4,10,10,633.3623,0.619,217.5607,851.542
conjure,5,1,4,556.9564,0.001,271.5839,828.5413
conjure,5,2,4,543.3907,0.896,238.7359,783.0226
conjure,5,3,4,539.0866,1.022,246.8338,786.9424
conjure,5,4,4,546.0173,0.743,238.539,785.2993
conjure,5,5,4,543.4316,0.99,265.2168,809.6384
conjure,5,6,4,537.3623,0.917,245.4649,783.7442
conjure,5,7,4,552.1854,0.0,235.5408,787.7262
conjure,5,8,4,548.704,0.949,257.1327,806.7857
conjure,5,9,4,543.7098,0.082,245.0357,788.8275
conjure,5,10,4,543.2526,0.0,241.569,784.8216
conjure,6,1,40,525.7259,1.684,422.7384,950.1483
conjure,6,2,40,534.9178,2.0,443.4563,980.3741
conjure,6,3,40,536.9416,1.916,439.1901,978.0477
conjure,6,4,40,535.3014,1.956,437.1175,974.3749
conjure,6,5,40,532.6319,1.817,365.5571,900.006
conjure,6,6,40,534.2967,1.58,469.6958,1005.5725
conjure,6,7,40,526.5337,1.011,485.7557,1013.3004
conjure,6,8,40,525.5092,1.939,408.6839,936.1321
conjure,6,9,40,540.1127,1.986,393.6451,935.7438
conjure,6,10,40,531.4531,1.739,378.0132,911.2053
conjure,7,1,92,513.2817,5.294,719.9122,1238.4879
conjure,7,2,92,520.6848,5.19,679.4668,1205.3416
conjure,7,3,92,514.9293,5.118,685.0102,1205.0575
conjure,7,4,92,515.4841,3.656,636.2634,1155.4035
