system,N,run,num_solutions,rewrite_time_ms,solver_time_ms,solution_translation_time_ms,conjure_solve_e2e_ms
conjure,5,1,0,1657.1149,0.0,0.0,0.0
conjure,5,2,0,1714.9617,0.0,0.0,0.0
conjure,5,3,0,1669.5262,0.0,0.0,0.0
conjure,5,4,0,1599.0343,0.0,0.0,0.0
conjure,5,5,0,1005.1311,0.0,0.0,0.0
conjure,5,6,0,1677.8903,0.0,0.0,0.0
conjure,5,7,0,1706.6729,0.0,0.0,0.0
conjure,5,8,0,1715.9563,0.0,0.0,0.0
conjure,5,9,0,1740.4619,0.0,0.0,0.0
conjure,5,10,0,1608.6263,0.0,0.0,0.0
conjure,6,1,0,1638.7101,0.0,0.0,0.0
conjure,6,2,0,1685.9706,0.0,0.0,0.0
conjure,6,3,0,1663.064,0.0,0.0,0.0
conjure,6,4,0,1665.2348,0.0,0.0,0.0
conjure,6,5,0,1608.4802,0.0,0.0,0.0
conjure,6,6,0,1692.9561,0.0,0.0,0.0
conjure,6,7,0,1663.6331,0.0,0.0,0.0
conjure,6,8,0,1607.8505,0.0,0.0,0.0
conjure,6,9,0,1660.5301,0.0,0.0,0.0
conjure,6,10,0,1669.6186,0.0,0.0,0.0
conjure,7,1,0,1740.908,0.0,0.0,0.0
conjure,7,2,0,1690.9898,0.0,0.0,0.0
conjure,7,3,0,1762.5907,0.0,0.0,0.0
conjure,7,4,0,1649.8407,0.0,0.0,0.0
conjure,7,5,0,1698.0023,0.0,0.0,0.0
conjure,7,6,0,1681.9976,0.0,0.0,0.0
conjure,7,7,0,1682.6411,0.0,0.0,0.0
conjure,7,8,0,1684.1146,0.0,0.0,0.0
conjure,7,9,0,1711.2721,0.0,0.0,0.0
conjure,7,10,0,1640.2787,0.0,0.0,0.0
conjure,8,1,0,1680.1206,0.0,0.0,0.0
conjure,8,2,0,1680.9308,0.0,0.0,0.0
conjure,8,3,0,1670.2554,0.0,0.0,0.0
conjure,8,4,0,1732.9192,0.0,0.0,0.0
conjure,8,5,0,1636.2795,0.0,0.0,0.0
conjure,8,6,0,1678.6108,0.0,0.0,0.0
conjure,8,7,0,1701.8119,0.0,0.0,0.0
conjure,8,8,0,1666.4775,0.0,0.0,0.0
conjure,8,9,0,1643.739,0.0,0.0,0.0
conjure,8,10,0,1696.8817,0.0,0.0,0.0
conjure,9,1,0,1362.5951,0.0,0.0,0.0
conjure,9,2,0,1741.5592,0.0,0.0,0.0
conjure,9,3,0,1838.3094,0.0,0.0,0.0
conjure,9,4,0,1878.7334,0.0,0.0,0.0
conjure,9,5,0,1534.4089,0.0,0.0,0.0
conjure,9,6,0,1846.5273,0.0,0.0,0.0
conjure,9,7,0,1865.028,0.0,0.0,0.0
conjure,9,8,0,1670.9062,0.0,0.0,0.0
conjure,9,9,0,1854.5351,0.0,0.0,0.0
conjure,9,10,0,1758.4335,0.0,0.0,0.0
conjure,10,1,0,1086.7742,0.0,0.0,0.0
conjure,10,2,0,1900.1447,0.0,0.0,0.0
conjure,10,3,0,1855.9169,0.0,0.0,0.0
conjure,10,4,0,1814.5478,0.0,0.0,0.0
conjure,10,5,0,1866.2185,0.0,0.0,0.0
conjure,10,6,0,1839.7621,0.0,0.0,0.0
conjure,10,7,0,1798.0014,0.0,0.0,0.0
conjure,10,8,0,1778.8388,0.0,0.0,0.0
conjure,10,9,0,1845.4974,0.0,0.0,0.0
conjure,10,10,0,1792.2786,0.0,0.0,0.0
conjure,11,1,0,1155.8105,0.0,0.0,0.0
conjure,11,2,0,1876.5456,0.0,0.0,0.0
conjure,11,3,0,1873.4222,0.0,0.0,0.0
conjure,11,4,0,1892.6203,0.0,0.0,0.0
conjure,11,5,0,1889.4934,0.0,0.0,0.0
conjure,11,6,0,1885.6078,0.0,0.0,0.0
conjure,11,7,0,1350.1163,0.0,0.0,0.0
conjure,11,8,0,1206.2626,0.0,0.0,0.0
conjure,11,9,0,1952.9057,0.0,0.0,0.0
conjure,11,10,0,1937.7651,0.0,0.0,0.0
conjure,12,1,0,1089.2011,0.0,0.0,0.0
conjure,12,2,0,1895.2852,0.0,0.0,0.0
conjure,12,3,0,1866.7205,0.0,0.0,0.0
conjure,12,4,0,1878.2054,0.0,0.0,0.0
conjure,12,5,0,1857.6643,0.0,0.0,0.0
conjure,12,6,0,1883.931,0.0,0.0,0.0
conjure,12,7,0,1912.6661,0.0,0.0,0.0
conjure,12,8,0,1879.9427,0.0,0.0,0.0
conjure,12,9,0,1899.5738,0.0,0.0,0.0
conjure,12,10,0,1837.9939,0.0,0.0,0.0
conjure,13,1,0,1635.078,0.0,0.0,0.0
conjure,13,2,0,1493.7248,0.0,0.0,0.0
conjure,13,3,0,1765.0406,0.0,0.0,0.0
conjure,13,4,0,1923.0176,0.0,0.0,0.0
conjure,13,5,0,1688.4039,0.0,0.0,0.0
conjure,13,6,0,1811.127,0.0,0.0,0.0
conjure,13,7,0,1995.5745,0.0,0.0,0.0
conjure,13,8,0,2123.6516,0.0,0.0,0.0
conjure,13,9,0,1321.7948,0.0,0.0,0.0
conjure,13,10,0,2208.5998,0.0,0.0,0.0
conjure,14,1,0,2177.0701,0.0,0.0,0.0
conjure,14,2,0,2312.4326,0.0,0.0,0.0
conjure,14,3,0,2055.6524,0.0,0.0,0.0
conjure,14,4,0,1784.2113,0.0,0.0,0.0
conjure,14,5,0,2100.4538,0.0,0.0,0.0
conjure,14,6,0,2080.2197,0.0,0.0,0.0
conjure,14,7,0,2226.9833,0.0,0.0,0.0
conjure,14,8,0,2125.461,0.0,0.0,0.0
conjure,14,9,0,2168.8251,0.0,0.0,0.0
conjure,14,10,0,2223.7772,0.0,0.0,0.0
conjure,15,1,0,2177.7032,0.0,0.0,0.0
conjure,15,2,0,2240.0809,0.0,0.0,0.0
conjure,15,3,0,1286.4669,0.0,0.0,0.0
conjure,15,4,0,2076.7216,0.0,0.0,0.0
conjure,15,5,0,1664.9761,0.0,0.0,0.0
conjure,15,6,0,2179.6899,0.0,0.0,0.0
conjure,15,7,0,2124.2623,0.0,0.0,0.0
