system,N,run,num_solutions,rewrite_time_ms,solver_time_ms,solution_translation_time_ms,conjure_solve_e2e_ms
conjure,50,1,0,3776.273,0.0,0.0,0.0
conjure,50,2,0,3495.8763,0.0,0.0,0.0
conjure,50,3,0,3465.6736,0.0,0.0,0.0
conjure,50,4,0,3705.1964,0.0,0.0,0.0
conjure,50,5,0,3793.3838,0.0,0.0,0.0
conjure,50,6,0,3852.7185,0.0,0.0,0.0
conjure,50,7,0,3687.6973,0.0,0.0,0.0
conjure,50,8,0,3811.8156,0.0,0.0,0.0
conjure,50,9,0,3930.6218,0.0,0.0,0.0
conjure,50,10,0,3603.2413,0.0,0.0,0.0
conjure,51,1,0,3867.2773,0.0,0.0,0.0
conjure,51,2,0,3783.1476,0.0,0.0,0.0
conjure,51,3,0,3767.2676,0.0,0.0,0.0
conjure,51,4,0,3831.5347,0.0,0.0,0.0
conjure,51,5,0,3925.1929,0.0,0.0,0.0
conjure,51,6,0,3915.7904,0.0,0.0,0.0
conjure,51,7,0,3929.7043,0.0,0.0,0.0
conjure,51,8,0,3733.8193,0.0,0.0,0.0
conjure,51,9,0,3899.8609,0.0,0.0,0.0
conjure,51,10,0,4028.7142,0.0,0.0,0.0
conjure,52,1,0,4046.1622,0.0,0.0,0.0
conjure,52,2,0,4022.1485,0.0,0.0,0.0
conjure,52,3,0,4087.9077,0.0,0.0,0.0
conjure,52,4,0,3779.17,0.0,0.0,0.0
conjure,52,5,0,3986.0958,0.0,0.0,0.0
conjure,52,6,0,3880.3558,0.0,0.0,0.0
conjure,52,7,0,3919.3505,0.0,0.0,0.0
conjure,52,8,0,3866.693,0.0,0.0,0.0
conjure,52,9,0,3824.8229,0.0,0.0,0.0
conjure,52,10,0,3807.8497,0.0,0.0,0.0
conjure,53,1,0,4284.5601,0.0,0.0,0.0
conjure,53,2,0,4059.3028,0.0,0.0,0.0
conjure,53,3,0,4037.5604,0.0,0.0,0.0
conjure,53,4,0,4095.389,0.0,0.0,0.0
