system,N,run,num_solutions,rewrite_time_ms,solver_time_ms,solution_translation_time_ms,conjure_solve_e2e_ms
conjure,5,1,24,571.9386,0.122,298.2617,870.3223
conjure,5,2,24,564.2625,0.106,305.8009,870.1694
conjure,5,3,24,569.1365,0.259,295.405,864.8005
conjure,5,4,24,573.8948,0.0,291.7222,865.617
conjure,5,5,24,573.6056,0.0,309.9025,883.5081
conjure,5,6,24,578.6748,0.132,298.1445,876.9513
conjure,5,7,24,598.4472,0.216,298.0941,896.7573
conjure,5,8,24,557.4049,0.0,306.9982,864.4031
conjure,5,9,24,558.7336,0.0,284.8124,843.546
conjure,5,10,24,559.4386,0.0,303.876,863.3146
conjure,6,1,48,561.1194,0.403,384.9831,946.5055
conjure,6,2,48,571.1377,0.001,348.4718,919.6105
conjure,6,3,48,582.4627,0.0,325.1524,907.6151
conjure,6,4,48,572.5717,0.145,387.7734,960.4901
conjure,6,5,48,566.1885,0.0,342.5617,908.7502
conjure,6,6,48,559.0267,0.129,361.9475,921.1032
conjure,6,7,48,574.9849,0.294,345.353,920.6319
conjure,6,8,48,580.6008,0.238,341.2583,922.0971
conjure,6,9,48,565.5661,0.0,341.1599,906.726
conjure,6,10,48,563.8762,0.0,357.1496,921.0258
conjure,7,1,96,551.4101,0.0,463.4076,1014.8177
conjure,7,2,96,581.6543,0.104,401.1092,982.8675
conjure,7,3,96,554.1237,0.158,428.0772,982.3589
conjure,7,4,96,587.8691,0.366,411.679,999.9141
conjure,7,5,96,564.5667,0.362,445.4371,1010.3658
conjure,7,6,96,561.8477,0.571,408.1101,970.5288
conjure,7,7,96,556.4383,0.761,420.4917,977.691
conjure,7,8,96,564.838,0.19,413.1457,978.1737
conjure,7,9,96,564.6536,0.452,415.6547,980.7603
conjure,7,10,96,566.321,0.344,398.147,964.812
conjure,8,1,192,594.9544,0.106,595.9975,1191.0579
conjure,8,2,192,591.9244,0.0,599.3431,1191.2675
conjure,8,3,192,600.5462,0.091,607.9248,1208.562
conjure,8,4,192,585.2348,0.581,604.1112,1189.927
conjure,8,5,192,576.4482,0.729,621.9425,1199.1197
conjure,8,6,192,573.422,0.775,589.0683,1163.2653
conjure,8,7,192,573.0345,0.682,587.9024,1161.6189
conjure,8,8,192,587.1113,0.142,618.9842,1206.2375
conjure,8,9,192,574.3411,0.657,617.9803,1192.9784
conjure,8,10,192,566.3937,0.208,583.2672,1149.8689
conjure,9,1,384,606.0949,0.727,1040.2183,1647.0402
conjure,9,2,384,598.5525,0.542,1010.2626,1609.3571
conjure,9,3,384,600.6673,0.721,1023.3653,1624.7536
conjure,9,4,384,597.8895,0.643,1030.3574,1628.8899
conjure,9,5,384,599.2813,0.0,983.9818,1583.2631
conjure,9,6,384,603.5244,1.036,972.2658,1576.8262
conjure,9,7,384,582.738,0.793,969.6932,1553.2242
conjure,9,8,384,579.6979,0.865,1055.542,1636.1049
conjure,9,9,384,574.1988,0.905,997.8422,1572.946
conjure,9,10,384,617.9759,1.087,903.3179,1522.3808
conjure,10,1,576,613.4485,1.654,1339.401,1954.5035
conjure,10,2,576,604.7208,1.026,1255.9798,1861.7266
conjure,10,3,576,607.4466,3.154,1331.5339,1942.1345
conjure,10,4,576,579.1728,1.723,1363.9007,1944.7965
conjure,10,5,576,578.8564,1.983,1397.9832,1978.8226
conjure,10,6,576,590.0894,1.1,1306.6453,1897.8347
conjure,10,7,576,585.565,1.895,1338.0789,1925.5389
conjure,10,8,576,615.6406,1.024,1313.5423,1930.2069
conjure,10,9,576,594.9184,0.475,1329.9169,1925.3103
conjure,10,10,576,606.6585,1.893,1342.4234,1950.9749
conjure,11,1,1152,620.2258,2.734,2559.3282,3182.288
conjure,11,2,1152,594.1872,2.238,2583.1389,3179.5641
conjure,11,3,1152,589.3257,4.146,2352.6889,2946.1606
conjure,11,4,1152,577.9389,1.963,2557.1097,3137.0116
conjure,11,5,1152,611.0939,2.741,2570.0097,3183.8446
conjure,11,6,1152,612.8617,2.693,2533.4895,3149.0442
conjure,11,7,1152,606.1299,0.867,2531.4949,3138.4918
conjure,11,8,1152,620.3032,1.651,2569.9788,3191.933
conjure,11,9,1152,613.6013,3.053,2539.3818,3156.0361
conjure,11,10,1152,621.1305,3.257,2591.4417,3215.8292
conjure,12,1,2304,656.0668,5.301,4936.3671,5597.7349
conjure,12,2,2304,591.4185,2.88,4758.2602,5352.5587
conjure,12,3,2304,592.7269,3.847,4993.6684,5590.2423
conjure,12,4,2304,580.6011,5.561,5055.5655,5641.7276
conjure,12,5,2304,554.1802,7.438,4626.7478,5188.366
conjure,12,6,2304,594.0514,6.017,4918.1729,5518.2413
conjure,12,7,2304,598.8743,5.885,4940.1244,5544.8837
conjure,12,8,2304,592.0345,9.828,5091.9774,5693.8399
conjure,12,9,2304,568.1505,5.97,4967.4574,5541.5779
conjure,12,10,2304,617.7643,2.878,4915.6305,5536.2728
conjure,13,1,3456,625.4193,9.121,7791.6384,8426.1787
conjure,13,2,3456,671.0832,8.848,7640.4221,8320.3533
conjure,13,3,3456,628.3231,8.909,6707.9014,7345.1335
conjure,13,4,3456,596.9946,8.058,7179.9008,7784.9534
conjure,13,5,3456,608.3253,8.379,7966.2104,8582.9147
conjure,13,6,3456,594.2957,9.883,7678.5877,8282.7664
conjure,13,7,3456,658.789,11.153,7492.7088,8162.6508
conjure,13,8,3456,590.1113,8.812,7880.3358,8479.2591
conjure,13,9,3456,609.6745,10.069,7849.8043,8469.5478
