EssenceFile,LOC,Repo,TagInt,ConstantInt,Constant,Reference,DomainInt,RangeBounded,FindOrGiven,Single,AbstractLiteral,Generator,AbsLitMatrix,Comprehension,MkOpSum,SuchThat,SizeAttr_None,MkOpAnd,MkOpEq,DomainReference,DomainSet,GenInExpr,MkOpIndexing,SizeAttr_Size,GenDomainNoRepr,Letting,MkOpImage,DomainMSet,DomainBool,MkOpTwoBars,DomainFunction,Domain,ConstantAbstract,OccurAttr_None,SizeAttr_MaxSize,MkOpLeq,DomainTuple,RangeLowerBounded,OccurAttr_MaxOccur,DomainEnum,DomainRelation,MkOpGeq,AbsLitTuple,MkOpMinus,RangeSingle,AbsPatTuple,DomainMatrix,ConstantBool,AbsLitSet,MkOpProduct,Condition,partsNum,isRegular,DomainPartition,partsSize,MkOpIn,MkOpImply,MkOpNegate,MkOpRelationProj,MkOpParts,SizeAttr_MinMaxSize,MkOpToInt,SizeAttr_MinSize,MkOpMod,MkOpNeq,MkOpNot,DomainSequence,LettingDomainDefnEnum,MkOpFreq,MkOpDefined,MkOpLt,MkOpOr,MkOpMax,Objective,MkOpMin,MkOpDiv,GivenDomainDefnEnum,Where,MkOpGt,AbsLitFunction,LettingDomainDefnUnnamed,MkOpLexLeq,MkOpPow,MkOpAttributeAsConstraint,DomainRecord,MkOpActive,MkOpToSet,MkOpAllDiff,MkOpTransform,MkOpRange,ComprehensionLetting,MkOpRestrict,OccurAttr_MinMaxOccur,AbsLitSequence,MkOpIntersect,AbsLitPartition,MkOpPowerSet,AbsLitMSet,MkOpDotLt,DomainVariant,MkOpPreImage,MkOpSlicing,AbsPatSet,MkOpFlatten,MkOpSubsetEq,MkOpIff,SearchHeuristic,BranchingOn,AbsLitRecord,TypeInt,MkOpPred,SearchOrder,MkOpApart,MkOpFactorial,MkOpTogether,MkOpSubsequence,MkOpSubstring,MkOpToMSet,MkOpTildeLt,MkOpSucc,DomainIntE,MkOpAllDiffExcept,MkOpParticipants,Typed,AbsLitVariant,MkOpParty,MkOpHist,TagEnum,MkOpUnion,Cut,RangeUpperBounded,TypeMatrix,MkOpImageSet,TypeBool,MkOpTrue,MkOpCatchUndef,TypeFunction,MkOpXor,MkOpSubset,AbsLitRelation,MkOpInverse,RangeOpen,OccurAttr_MinOccur,WithLocals,DefinednessConstraints,MkOpAtMost,MkOpAtLeast,TypeSet,MkOpSupset,MkOpToRelation,MkOpSupsetEq,MkOpLexLt
syntax_test/domains/variant/variant.essence,1,conjure-cp/conjure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syntax_test/domains/record/record.essence,1,conjure-cp/conjure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syntax_test/domains/bool/bool.essence,1,conjure-cp/conjure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
custom/issues/452/452.essence,1,conjure-cp/conjure,4,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
custom/issues/503/503.essence,1,conjure-cp/conjure,7,6,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issues/370/01/370.essence,1,conjure-cp/conjure,3,2,3,2,1,1,1,1,0,1,0,1,0,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issues/370/03/370.essence,1,conjure-cp/conjure,7,5,5,3,2,2,1,1,0,1,0,1,0,1,2,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issues/370/02/370.essence,1,conjure-cp/conjure,4,3,3,2,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issues/549/2/549_2.essence,1,conjure-cp/conjure,9,6,6,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
custom/issues/366/366.essence,1,conjure-cp/conjure,10,7,3,1,3,2,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
